_id,channelId,description.eng,description.original,dislikeCount,duration,encounter.dates,encounter.locationIDs,fileDetails,likeCount,newLocation,publishedAt,recordingDetails.date,recordingDetails.location,regionRestriction,relevant,tags.eng,tags.original,title.eng,title.original,uploadedAt,url,user_country,videoID,viewCount,wild
8j1HWD8KuMM,,null,Tom Mustill - Humpback Whales - A Detective Story ( trailer ).mp4,0,null,[],[],null,1,0,2019-05-05T21:17:14.000Z,null,null,null,true,[],"[""auto-upload""]",null,Tom Mustill - Humpback Whales - A Detective Story ( trailer ),null,https://youtu.be/8j1HWD8KuMM,,8j1HWD8KuMM,170,true
tW_T8Z6ebmg,,null,"Humpback whale calf suckling its mother, first time from the calf's view.  (c) CNRS/ Cétamada.
Footage recorded on the breeding ground on the east coast of Madagascar at Ste Marie Island. This video was filmed with a Emmy Award-winning CATS Cam.",3,null,[],[],null,166,0,2018-10-15T08:32:31.000Z,null,null,null,true,[],"[""humpback whale"",""suckling behaviour"",""Madagascar"",""nursing humpback whale"",""breeding ground""]",null,Suckling Humpback whale,null,https://youtu.be/tW_T8Z6ebmg,,tW_T8Z6ebmg,36383,true
oSGhnD5kmAg,,null,"To use this video in a commercial player or broadcast, contact licensing@storyful.com

Credit: username via Storyful
Original video: Link",1,null,[],[],null,16,0,2019-03-07T09:39:33.000Z,null,null,null,true,[],"[""storyful"",""news"",""viral"",""Humpback Whale"",""Whale"",""feeding"",""San Diego"",""California"",""ocean"",""water"",""sea"",""fish"",""dolphin""]",null,Humpback Whales Lunge Feed Among Pod of Dolphins on San Diego Coast,null,https://youtu.be/oSGhnD5kmAg,,oSGhnD5kmAg,1016,true
6eWwFNq4i_c,,null,"The best moments of the 2017 humpback whale season with Moorea Ocean Adventures.

Join us on our website www.moorea-ocean-adventures.com",0,null,[],[],null,15,0,2017-09-29T06:42:30.000Z,null,null,null,true,[],"[""Whales"",""Swim with whales"",""Wildlife"",""Snorkeling"",""Moorea"",""Tahiti"",""South Pacific"",""Travel"",""Ocean"",""Freediving"",""Adventures"",""Humpback"",""Bucket list""]",null,Humpback whales 2017 - Best of by Moorea Ocean Adventures,null,https://youtu.be/6eWwFNq4i_c,,6eWwFNq4i_c,2088,true
RMaMmynj76s,,null,"A large group of Humpback Whales lunge feeding next to the boat! Aboard The Greatland, with Princess Monterey Whale Watching. Monterey Bay 9/16/16",87,null,[],[],null,1286,0,2015-09-17T15:29:19.000Z,null,null,null,true,[],"[""Humpback Whale (Organism Classification)"",""surface behavior"",""Lunge feeding"",""baleen"",""anchovies"",""wildife"",""Amazing"",""animal"",""Whale (Animal)"",""Monterey Bay (Body Of Water)"",""Monterey Bay National Marine Sanctuary (Protected Site)""]",null,Amazing! Humpback Whales Lunge Feeding up close! Monterey Bay 9/16/15,null,https://youtu.be/RMaMmynj76s,,RMaMmynj76s,377651,true
WxrJtmYoHzM,,null,"To use this video in a commercial player or broadcast, contact licensing@storyful.com

Credit: Matthew H Schweitzer via Storyful",1,null,[],[],null,9,0,2019-04-22T21:04:47.000Z,null,null,null,true,[],"[""storyful"",""news"",""viral""]",null,Pod of Humpback Whales Spotted Traveling North Off Hawaii Coast,null,https://youtu.be/WxrJtmYoHzM,,WxrJtmYoHzM,523,true
ym6e3SAuyXg,,null,"'Subscribe to StoryTrender: http://bit.ly/StoryTrenderSubscribe
Watch more: http://bit.ly/StoryTrenderPicks
Submit your video here: http://bit.ly/StoryTrender

-----------------------------------------------

Subscribe here: http://bit.ly/1m6su5O

This shocked kiteboarder really did hit a hump in the road - as he rode right over a giant HUMPBACK WHALE
 
Having initially been gliding innocently across the water, Andrei Grigoriev's incredible footage then shows the exact moment he then collided with the large mammal.
 
Andrei's board skims right over the back of the rising whale, before the extreme sports enthusiast can be seen spreading his arms in utter amazement.
 
The moment was captured in the waters off Crissy Field Beach, California, USA, on June 18, 2017.
 
Andrei, 36, who lives in the Bay Area, said he had never even seen a whale before that moment, and though the footage may appear shocking, he never intended any harm to the animal; it was a complete accident.

**Please contact video@catersnews.com to licence this content**

Company Information:

Caters Clips is owned and operated by Caters News Agency Ltd, an international multimedia content provider. We supply news, picture, video and feature stories to the world’s largest media publishers.

All videos aired on this channel have been licensed from their rightful owners. 

For media / licensing / broadcast usages, please contact video(at)catersnews.com

www.catersnews.com

Connect with Caters:

Follow us on Twitter: https://twitter.com/Caters_News
Like our Facebook: https://www.facebook.com/CatersTV
Visit our website: https://www.catersnews.com",173,null,[],[],null,1195,0,2017-07-05T08:15:01.000Z,null,null,null,true,[],"[""andrei"",""beach"",""california"",""caters"",""clips"",""collided"",""crissy"",""field"",""giant"",""hits"",""humbback"",""hump"",""humpback"",""kite"",""kiteboarder"",""large"",""mammal"",""news"",""rode"",""shocked"",""shocking"",""tv"",""video"",""viral"",""whale"",""whales""]",null,Shocked Kiteboarder Hits Humpback Whale,null,https://youtu.be/ym6e3SAuyXg,,ym6e3SAuyXg,565062,true
H5xilsOjd2o,,null,"In this video Ben & Di continue their Humpback whale swim adventures around the Ha'apai islands of Tonga

To see more of Ben and Di's adventures and moments around the islands of Ha'apai check out this playlist

https://www.youtube.com/playlist?list=PLdJS5emgSs08wkeUNyqsGOqaRogCEAM4F

Majestic Whale Encounters run a 5 day swim with the Humpback whales tour in this stunning location. A true water lovers paradise. 

If you would like further information about how you could organise and experience a trip into these beautiful island contact Carmen and her friendly team.

Web: http://www.majesticwhaleencounters.com.au
Phone: +61 (2) 4385 5454 or +61 405 594 253

To Follow our Travel Adventure Subscribe to our channel
https://www.youtube.com/user/FunTravelTVshow

To catch up on previous episodes and destinations we have visited
http://www.youtube.com/playlist?list=PLdJS5emgSs09gvLLguBHqBcBNDbQ69aVQ

Like us on Facebook
https://www.facebook.com/funtraveltv

Follow us on Instagram
http://instagram.com/funtraveltv

#tonga #whaleswim #whales #adventuretravel",0,null,[],[],null,20,0,2015-11-23T03:24:07.000Z,null,null,null,true,[],"[""Tonga Whales"",""whale swim"",""swim with whales"",""Tonga (Country)"",""Vavaʻu (Island)"",""Haʻapai (Island)"",""majestic whale encounters"",""whaleswim"",""humpback whale"",""into water and beyond"",""fun travel tv"",""south pacfic holiday"",""Whale (Animal)"",""Diving"",""Scuba Diving (Interest)"",""Snorkeling (Industry)"",""Island Holiday"",""tropical island holiday"",""Island (Geographical Feature Category)"",""Travel (TV Genre)"",""Whale sounds"",""whale song""]",null,Humpback Whales in the Ha&#39;apai islands of Tonga,null,https://youtu.be/H5xilsOjd2o,,H5xilsOjd2o,2054,true
42UslehRiVY,,null,"A look at the top photos from around the globe.

#ABCNews #WorldInPhotos",30,null,[],[],null,141,,2019-07-31T21:32:51.000Z,null,null,null,false,[],"[""monkey"",""jockey"",""sea"",""lion"",""humpback"",""whale"",""World"",""in"",""Photos""]",null,"A monkey jockey and a sea lion tossed by a humpback whale: World in Photos, July 31",null,https://youtu.be/42UslehRiVY,,42UslehRiVY,7694,0
xE3g5UFS7aI,,null,Today we enjoyed Humpback Whales feeding amongst thousands of Northern Right Whale Dolphins & Pacific White Sided Dolphins. We also came across a surface active Humpback Whale Calf and Sea Otters in the Harbor.,0,null,[],[],null,22,0,2019-05-14T03:20:25.000Z,null,null,null,true,[],[],null,Humpback Whales &amp; Dolphins,null,https://youtu.be/xE3g5UFS7aI,,xE3g5UFS7aI,493,true
